peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
483	6005	716.8966	345538	0.0136	3.48	-1
484	6005	717.39604	299769	0.0181	3.02	-1
485	6005	717.87938	789294	0.0146	7.95	-1
486	6005	718.38053	571850	0.0143	5.76	-1
487	6005	718.88434	239003	0.0132	2.41	-1
488	6005	719.69673	1115760	0.0144	11.24	-1
489	6005	720.03127	633768	0.0146	6.39	-1
490	6005	720.3667	651414	0.0139	6.56	-1
491	6005	720.7001	271907	0.0142	2.74	-1
492	6005	721.34646	436117	0.0132	4.39	-1
493	6005	723.72714	220493	0.0148	2.22	-1
494	6005	724.06189	301329	0.0135	3.04	-1
495	6005	726.68747	240853	0.0128	2.43	-1
496	6005	727.37691	2418848	0.0147	24.37	-1
497	6005	727.87822	1636891	0.0144	16.49	-1
498	6005	728.37954	492304	0.0156	4.96	-1
499	6005	728.68296	477089	0.0148	4.81	-1
500	6005	729.01798	443115	0.0165	4.47	-1
501	6005	729.35063	309769	0.0137	3.12	-1
502	6005	729.44693	5398613	0.0145	54.4	-1
503	6005	730.45052	1583307	0.0144	15.95	-1
504	6005	730.84765	202198	0.0129	2.04	-1
505	6005	731.45385	275637	0.0153	2.78	-1
506	6005	733.35716	321628	0.0139	3.24	-1
507	6005	735.85814	237640	0.0121	2.39	-1
508	6005	736.33109	214681	0.0152	2.16	-1
509	6005	736.36031	332937	0.0145	3.35	-1
510	6005	737.37894	905004	0.0154	9.12	-1
511	6005	738.38314	221382	0.013	2.23	-1
512	6005	739.37611	1163276	0.0148	11.72	-1
513	6005	739.87847	804040	0.0159	8.1	-1
514	6005	740.02736	430221	0.015	4.34	-1
515	6005	740.35837	1303533	0.0153	13.14	-1
516	6005	740.38056	354814	0.0173	3.58	-1
517	6005	741.36205	321860	0.0148	3.24	-1
518	6005	742.44239	1039633	0.0152	10.48	-1
519	6005	743.38934	362789	0.016	3.66	-1
520	6005	743.42549	210254	0.0159	2.12	-1
521	6005	743.44683	325752	0.0146	3.28	-1
522	6005	743.70179	287603	0.0177	2.9	-1
