scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
176,2,2277952,470.41348,0.2622,939.38696,938.81353,938.81353,0.1734,4.79,2277952,0,,0
176,2,1910533,829.79535,0.1686,1658.64951,1657.5485,1657.5485,0.4477,4.02,1910533,0,,0
176,2,1752063,867.93976,0.0993,1735.01001,1733.86606,1733.86606,0.1973,3.69,1752063,0,,0
176,2,1548461,637.16768,0.1339,1273.10332,1272.3223,1272.3223,0.2601,3.26,1548461,0,1,0.67419
189,1,15460960,632.46317,0.2005,631.84061,631.45644,631.45644,0.1244,30.25,15460960,0,,0.47701
189,2,4914424,822.35138,0.1722,1643.77876,1642.6893,1642.6893,0.283,9.62,4914424,0,,0
189,2,3433156,726.85228,0.1626,1451.74658,1450.76952,1450.76952,0.5008,6.72,3433156,0,1,0.43618
189,3,3356577,798.77207,0.1354,2393.83684,2392.29316,2393.29604,0.1758,6.57,3356577,0,1,0.42889
189,1,3148887,627.49785,0.2454,626.87438,626.49112,626.49112,0.1703,6.16,3148887,0,,0
189,4,2205606,545.28435,0.1404,2177.52627,2176.10806,2177.11049,0.1814,4.32,2205606,0,1,0.43752
189,3,1588847,819.53352,0.1003,2456.42507,2454.84056,2455.8491,0.3553,3.11,1588847,0,1,0
202,2,6148122,470.41039,0.2283,939.38076,938.80733,938.80733,0.1761,13.47,6148122,0,,0
202,2,4495604,822.44029,0.1129,1643.95657,1642.86712,1642.86712,0.3981,9.85,4495604,0,,0
202,2,2620014,829.79704,0.1775,1658.68164,1657.58063,1657.58063,0.4403,5.74,2620014,0,,0
202,1,2348788,627.4954,0.2347,626.87193,626.48867,626.48867,0.1733,5.14,2348788,0,,0
202,3,2174788,798.40597,0.1711,2392.58846,2391.04509,2392.19773,0.9071,4.76,2174788,0,1,0.70186
202,2,1784320,962.50971,0.0598,1923.27005,1922.00318,1923.00597,0.3312,3.91,1784320,0,1,0.3861
215,1,16058702,632.57496,0.0631,631.95222,631.56805,631.56805,0.6798,35.87,16058702,0,,0.11617
215,1,9881925,719.61029,0.0979,719.04366,718.60356,718.60356,0.5918,22.07,9881925,0,,0
215,1,6900600,470.41223,0.2088,469.69299,469.4055,469.4055,0.1822,15.41,6900600,0,,0.34021
215,1,5595083,686.99563,0.1147,686.41141,685.98917,685.98917,0.5541,12.5,5595083,0,1,0.7462
215,2,4122166,822.48683,0.1245,1644.04965,1642.9602,1642.9602,0.3424,9.21,4122166,0,,0
215,2,3307202,829.79589,0.2162,1658.67933,1657.57832,1657.57832,0.4168,7.39,3307202,0,,0
215,1,2110800,631.56422,0.1971,630.94166,630.55749,630.55749,0.8231,4.72,2110800,0,,0
215,3,12088582,669.57818,0.2373,2003.0282,2001.71733,2002.71887,0.2423,4.53,2027583,0,,0
215,2,1978381,962.51875,0.0627,1923.28813,1922.02125,1923.02405,0.3518,4.42,1978381,0,1,0.39789
228,2,4617369,822.34482,0.1711,1643.76564,1642.67619,1642.67619,0.3055,9.15,4617369,0,,0
228,2,3048030,830.39483,0.143,1658.87435,1657.77319,1657.77319,0.2284,6.04,3048030,0,,0.47255
228,1,3030230,696.87309,0.0387,696.29166,695.86637,695.86637,0.1831,6.01,3030230,0,,0.18633
228,3,15785853,669.57908,0.248,2004.03002,2002.71914,2003.72069,0.2625,5.51,2781834,0,,0.85018
228,2,2490082,507.86697,0.0859,1014.33354,1013.71748,1013.71748,0.3803,4.94,2490082,0,,0
228,2,2304047,687.46542,0.293,1373.84191,1372.91739,1372.91739,0.1363,4.57,2304047,0,1,0.78243
228,2,1603851,726.64536,0.1143,1452.22734,1451.25029,1451.25029,0.4527,3.18,1603851,0,1,0.41473
241,2,11867677,719.61462,0.2086,1438.12578,1437.16013,1437.16013,0.4988,24.69,11867677,0,,0.07634
241,2,6025688,807.78905,0.0854,1614.17868,1613.10494,1613.56463,0.6955,12.54,6025688,0,1,0.40254
241,2,3636434,822.3506,0.1455,1643.77719,1642.68773,1642.68773,0.2986,7.57,3636434,0,,0
241,2,2750077,788.18672,0.121,1574.84074,1573.79302,1574.11022,0.6502,5.72,2750077,0,1,0.47215
241,2,2481747,830.49854,0.1726,1659.08177,1657.98061,1657.98061,0.3188,4.79,2299972,0,,0.51901
241,4,2140468,726.51194,0.1669,2902.87587,2901.01819,2902.02084,0.1453,4.45,2140468,0,,0
241,1,1697104,694.004,0.1795,693.41678,692.99348,692.99348,0.8003,3.53,1697104,0,,0
241,3,1699955,798.87268,0.108,2393.76089,2392.21721,2393.45603,1.2302,3.02,1452582,0,1,0.65185
254,3,7101677,801.39848,0.1155,2401.72643,2400.1724,2401.17526,0.2291,15.98,7101677,0,1,0.46351
254,1,3502953,726.51629,0.0607,725.95072,725.50957,725.50957,0.13,7.88,3502953,0,,0
254,2,2870291,788.18845,0.1282,1575.09397,1574.04625,1574.36345,0.6952,6.46,2870291,0,1,0.40193
254,2,2713456,822.34722,0.1572,1643.77044,1642.68099,1642.68099,0.3231,6.1,2713456,0,,0
254,1,2484324,363.78225,0.0245,362.99503,362.7753,362.7753,0.6974,5.59,2484324,0,1,0.40387
254,2,1925387,962.52154,0.0629,1923.2937,1922.02682,1923.02962,0.3408,4.33,1925387,0,1,0.42463
254,3,2450583,813.74809,0.217,2437.78898,2436.21853,2437.22139,0.1797,3.43,1525663,0,1,0.61631
254,2,1378855,754.36254,0.0947,1507.71399,1506.708,1506.708,0.3741,3.1,1378855,0,,0
267,1,5440142,726.52084,0.0778,725.95527,725.51411,725.51411,0.1218,14.28,5440142,0,,0
267,1,4630756,923.15869,0.0833,922.63561,922.07404,922.07404,1.1789,12.15,4630756,0,1,0.25757
267,2,2197388,822.34767,0.1539,1644.78752,1643.69807,1643.69807,0.3073,5.77,2197388,0,,0
267,1,1691712,635.44275,0.2191,634.82079,634.43617,634.43617,0.4982,4.44,1691712,0,,0
267,2,1557679,962.49994,0.0275,1923.2505,1921.98363,1922.98642,0.294,4.09,1557679,0,1,0.46726
267,2,1414555,844.3658,0.1415,1687.49554,1686.37931,1686.71815,0.6228,3.71,1414555,0,1,0
280,1,9554318,685.89395,0.0714,686.28341,685.86116,685.86116,1.0702,82.39,30408930,2945443,1,0
280,1,8410987,632.55864,0.062,631.93607,631.55191,631.55191,0.8008,22.79,8410987,0,,0
280,1,6976007,719.61141,0.0906,719.04479,718.60469,718.60469,0.5914,18.9,6976007,0,,0
280,2,4327134,704.89279,0.0422,1408.72256,1407.77228,1407.77228,0.2116,11.72,4327134,0,,0
280,2,2686433,646.44254,0.2194,1291.64832,1290.86458,1290.86458,0.3995,7.28,2686433,0,,0.33067
280,2,1963313,822.38111,0.1362,1643.83821,1642.74876,1642.74876,0.3514,5.32,1963313,0,,0
